NUMBER	ENGLISH	PORTUGUESE	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS	EOL
287	ROOT	RAÍZ	AGRICULTURE_AND_VEGETATION	670	ROOT	
288	ROPE	CORDA	BASIC_ACTIONS_AND_TECHNOLOGY	1218	ROPE	
289	ROTTEN	PODRE / APODRECIDO	FOOD_AND_DRINK	1728	ROTTEN	
290	ROUND	REDONDO	SPATIAL_RELATIONS	1395	ROUND	
291	ROW / PADDLE	REMAR	MOTION	1849	ROW	
292	RUN	CORRER	MOTION	1519	RUN	
293	SAD (NESS)	TRISTE (ZA)	EMOTIONS_AND_VALUES	699	SAD	
294	SALIVA	SALIVA	BODY	1503	SALIVA	
295	SALT	SAL	FOOD_AND_DRINK	1274	SALT	
296	SAND	AREIA	PHYSICAL_WORLD	1127	SEND	
297	SAY	DIZER	SPEECH_AND_LANGUAGE	1458	SAY	
298	SCARE	ASSUSTAR / AMEDRONTAR	EMOTIONS_AND_VALUES	252	FRIGHTEN	
299	SCORPION	ESCORPIÃO	ANIMALS	1538	SCORPION	
300	SCREAM	GRITAR	SPEECH_AND_LANGUAGE	3809	SCREAM (PRODUCE A CRY)	
301	SEE	VER	SENSE_PERCEPTION	1409	SEE	
302	SEED	SEMENTE	AGRICULTURE_AND_VEGETATION	714	SEED	
303	SEEK / LOOK FOR / SEARCH	BUSCAR / PROCURAR	POSSESSION	1468	LOOK FOR	
304	SEND	ENVIAR	MOTION	1127	SEND	
305	SHADOW	SOMBRA	THE_PHYSICAL_WORLD	2275	SHADOW	
306	SHAMAN	PAJÉ	RELIGION_AND_BELIEF	394	SHAMAN (FOLK HEALER)	
307	SHARPEN	AFIAR	SENSE_PERCEPTION	251	SHARPEN (SOMETHING)	
308	SHELL / BARK	CASCA / PELE	AGRICULTURE_AND_VEGETATION	2127	BARK OR SKIN	
309	SHELL	CONCHA	ANIMALS	598	SHELL	
310	SHINE	BRILHAR	SENSE_PERCEPTION	708	SHINE	
311	SHOOT	ATIRAR	WARFARE_AND_HUNTING	1172	SHOOT	
312	SHOULDER	OMBRO	BODY	1482	SHOULDER	
313	SHORT	CURTO	SPATIAL_RELATIONS	1645	SHORT	
314	SICK / ILL	DOENTE	BODY	1847	SICK	
315	SIEVE	PENEIRA	BASIC_ACTIONS_AND_TECHNOLOGY	3353	SIEVE (TOOL)	
316	SIEVE / STRAIN	PENEIRAR	FOOD_AND_DRINK	3448		
317	SING	CANTAR	SPEECH_AND_LANGUAGE	1261	SING	
318	SISTER	IRMÃ	KINSHIP	1263	SISTER	
319	SISTER, younger of woman	IRMÃ	KINSHIP			
320	SISTER, older of woman	IRMÃ	KINSHIP			
321	SISTER, older of man	IRMÃ	KINSHIP			
322	SISTER, younger of man	IRMÃ	KINSHIP			
323	SIT (down)	SENTAR (-SE)	SPATIAL_RELATIONS	1416	SIT	
324	SKIN	PELE	BODY	763	SKIN	
325	SKY	CÉU	PHYSICAL_WORLD	1732	SKY	
326	SLEEP	DORMIR	BODY	1585	SLEEP	
327	SLOTH	BICHO PREGUIÇA	ANIMALS	2446	SLOTH	
