Doculect	Subfamily	ISO	ID	Glottolog	Longitude	Latitude	Concept	Form	Cognate_Class	Comment
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	AGOUTI / PACA	akusi	1	
Wayampí	Tupí-Guaraní	oym	oym	waya1270	-52.6887	1.73817	AGOUTI / PACA	akusi	1	
Ka'apor (Urubu) 	Tupí-Guaraní	urb	urb	urub1250	-46.2204	-2.46455	AGOUTI / PACA	akuʃi / akuti	1	
Anambé	Tupí-Guaraní	aan	aan	anam1249	-49.303	-2.71119	AGOUTI / PACA	kararuhu		
Kamayura	Tupí-Guaraní	kay	kay	kama1373	-53.4651	-12.2661	AGOUTI / PACA	akutsi	1	
Asurini do Xingu	Tupí-Guaraní	asn	asn	xing1248	-52.321	-4.13463	AGOUTI / PACA	merĩ	3	
Avá-Canoeiro	Tupí-Guaraní	avv	avv	avac1239	-48.1336	-13.6081	AGOUTI / PACA	akuti	1	
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	AGOUTI / PACA	akuti	1	
Nheengatu	Tupí-Guaraní	yrl	yrl	nhen1239	-66.9646	1.04503	AGOUTI / PACA	akuti	1	
Guarayo	Tupí-Guaraní	gyr	gyr	guar1292	-61.6934	-15.8247	AGOUTI / PACA	akutʃi	1	
Sirionó	Tupí-Guaraní	srq	srq	siri1273	-63.9688	-15.5298	AGOUTI / PACA	itajku	5	
Warazu (Pauserna)	Tupí-Guaraní	psm	psm	paus1244	-63.1903	-12.8553	AGOUTI / PACA	akutsɨ	1	
Chiriguano	Tupí-Guaraní	gui	gui	east2555	-63.37	-20.42	AGOUTI / PACA	akúti	1	
Jorá	Tupí-Guaraní	jor	jor	jora1240	-63.21	-15.75	AGOUTI / PACA	kuʃi		
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	AGOUTI / PACA	akuʃi	1	
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	AGOUTI / PACA	akuti	1	
Old Guaraní †	Tupí-Guaraní	#??	olg	????	-54.29	-26.25	AGOUTI / PACA	akuti*	1	
Kaiowá	Tupí-Guaraní	kgk	kgk	kaiw1246	-54.6815	-24.589	AGOUTI / PACA	akutɨ	1	
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	AGOUTI / PACA	akuti	1	
Cocama-Cocamilla	nonTupían	cod	cod	coca1259	-74	-4.5	AGOUTI / PACA	akuti	1	
Puruborá	Ramarana-Purubora	pur	pur	puru1264	-62.4358	-11.4226	ALL	wuijaba	9	
Makurap	Tuparí	mpu	mpu	maku1278	-64.3201	-11.8701	ALL	βiibmõ / ŋitoɲə̃ʔ	C / 	/ also means 'well'
Wayoró	Tuparí	wyr	wyr	wayo1238	-61.3064	-12.6945	ALL	ndege	8	
Tuparí	Tuparí	tpr	tpr	tupa1250	-62.2544	-11.8884	ALL	irote	7	
Akuntsu	Tuparí	aqz	aqz	akun1241	-60.9716	-12.8322	ALL	(b)õ	1	
Mekens (Sakurabiat)	Tuparí	skf	skf	saki1248	-62.0927	-13.054	ALL	paeseet	6	
Gavião (Ikólóéhj)	Mondé	gvo	gvo-gaviao	gavi1246	-61.6752	-10.7235	ALL	kɨrɨjãã	4	
Aruá	Mondé	arx	arx	arua1261	-62.44	-12.12	ALL	βerep	3	
Zoró	Mondé	gvo	gvo-zoro	gavi1246	-61.6752	-10.7235	ALL	sopop	1	
Suruí-Paiter	Mondé	sru	sru	suru1262	-61.2818	-11.0989	ALL	bagater	5	
Xipaya	Juruna	xiy	xiy	xipa1240	-49.948	-4.133	ALL	kiwi	D	
Juruna	Juruna	jur	jur	juru1256	-53.3472	-10.9354	ALL	bitehu	B	
Mundurukú	Munduruku	myu	myu	mund1330	-57.691	-8.41095	ALL	soat	E	
Kuruaya	Munduruku	kyr	kyr	kuru1309	-52.2303	-3.09561	ALL	poam	1	
Sateré-Mawé	Mawé	mav	mav	sate1243	-56.8749	-3.63897	ALL	torania	2	
Awetí	Awetí	awe	awe	awet1244	-53.391944	-12.381944	ALL	momati	1	
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	ALL	pam	1	
Asurini do Tocantins	Tupí-Guaraní	asu	asu	toca1235	-49.8991	-3.59359	ALL	pap	1	
Suruí (Pará)	Tupí-Guaraní	mdz	mdz	suru1262	-48.59	-5.93	ALL	pam	1	
Tapirapé (Apyãwa)	Tupí-Guaraní	taf	taf	tapi1254	-50.5438	-10.5373	ALL	pãw	1	
Tembé	Tupí-Guaraní	tqb	tqb	temb1276	-48.2359	-2.6123	ALL	paw	1	
Guajajara	Tupí-Guaraní	gub	gub	guaj1255	-45.7081	-4.69461	ALL	paw	1	
Apiaká	Tupí-Guaraní	api	api	apia1248	-57.91	-7.84711	ALL	pawẽ	1	
Parintintin	Tupí-Guaraní	pah	pah	tenh1241	-61.936	-7.92626	ALL	paβ	1	
Amondawa	Tupí-Guaraní	adw	adw	amun1246	-62.3064	-9.04023	ALL	paβ	1	
Tenharim	Tupí-Guaraní	xyz	xyz	????	-61.8972	-8.32882	ALL	paβ	1	
Urueuwauwau	Tupí-Guaraní	urz	urz	urue1240	-63.8086	-10.9176	ALL	paβ	1	
Kayabí	Tupí-Guaraní	kyz	kyz	kaya1329	-55.5479	-11.2747	ALL	pap	1	
Araweté	Tupí-Guaraní	awt	awt	araw1273	-52.5001	-4.90246	ALL	pa	1	
Guajá	Tupí-Guaraní	gvj	gvj	guaj1256	-46.3683	-3.93574	ALL	pa	1	
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	ALL	pa	1	
Wayampí	Tupí-Guaraní	oym	oym	waya1270	-52.6887	1.73817	ALL	pa / pilu	1	
Zo'e	Tupí-Guaraní	pto	pto	zoee1240	-55.51	-1.77	ALL	kã	3*	
Ka'apor (Urubu) 	Tupí-Guaraní	urb	urb	urub1250	-46.2204	-2.46455	ALL	upa / joho	1	
Kamayura	Tupí-Guaraní	kay	kay	kama1373	-53.4651	-12.2661	ALL	pap	1	
Asurini do Xingu	Tupí-Guaraní	asn	asn	xing1248	-52.321	-4.13463	ALL	pap	1	
Avá-Canoeiro	Tupí-Guaraní	avv	avv	avac1239	-48.1336	-13.6081	ALL	upakatu	1	
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	ALL	paβ	1	
Nheengatu	Tupí-Guaraní	yrl	yrl	nhen1239	-66.9646	1.04503	ALL	pa	1	
Língua Geral Paulista (Tupi austral) †	Tupí-Guaraní	tpʷ	tpʷ	tupi1274	-46.38	-23.95	ALL	opabiɲe	1	
Yuki	Tupí-Guaraní	yuq	yuq	yuqu1240	-64.9438	-16.7875	ALL	χa	1	
Guarayo	Tupí-Guaraní	gyr	gyr	guar1292	-61.6934	-15.8247	ALL	pãvã	1	
Sirionó	Tupí-Guaraní	srq	srq	siri1273	-63.9688	-15.5298	ALL	ha	1	
Warazu (Pauserna)	Tupí-Guaraní	psm	psm	paus1244	-63.1903	-12.8553	ALL	ma	1	
Chiriguano	Tupí-Guaraní	gui	gui	east2555	-63.37	-20.42	ALL	pãwe	1	
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	ALL	pa	1	
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	ALL	opa	1	
Old Guaraní †	Tupí-Guaraní	#??	olg	????	-54.29	-26.25	ALL	opa	1	
Guayaki (Aché)	Tupí-Guaraní	guq	guq	ache1246	-56.4697	-25.5865	ALL	wɨwɨ		
Xetá	Tupí-Guaraní	xet	xet	xeta1241	-52.2266	-24.9408	ALL	po	1	
Kaiowá	Tupí-Guaraní	kgk	kgk	kaiw1246	-54.6815	-24.589	ALL	mba	1	
Tapiete	Tupí-Guaraní	tpj	tpj	tapi1253	-62.684	-21.4169	ALL	ópa	1	
Chiripá (Ñandeva / Avá-Guarani)	Tupí-Guaraní	nhd	nhd	chir1286	-55.05	-25.65	ALL	pãβẽ	1	
